pH (eau);pH (eau)_Min;pH (eau)_Max;Carbone organique;Carbone organique_Min;Carbone organique_Max;ratio C/N;ratio C/N_Min;ratio C/N_Max;Azote total;Azote total_Min;Azote total_Max;Phosphore total;Phosphore total_Min;Phosphore total_Max;Bore (eau chaude);Bore (eau chaude)_Min;Bore (eau chaude)_Max;Capacité d'échange cationique;Capacité d'échange cationique_Min;Capacité d'échange cationique_Max
6,6;5,1;7;0,6;1,5;4,5;12,7;9,5;15,5;0,07;0,2;0,4;164;200;600;0,38;0,16;0,9;62,4;75;200
6,9;5,1;7;0,6;1,5;4,5;13,3;9,5;15,5;0,08;0,2;0,4;373;200;600;0,31;0,16;0,9;46,6;75;200
5,4;5,1;7;1;1,5;4,5;11,1;9,5;15,5;0,1;0,2;0,4;333;200;600;0,25;0,16;0,9;22,9;75;200
6,7;5,1;7;0,3;1,5;4,5;15,2;9,5;15,5;0,05;0,2;0,4;196;200;600;0,21;0,16;0,9;19,1;75;200
7,2;5,1;7;0,5;1,5;4,5;13,3;9,5;15,5;0,04;0,2;0,4;255;200;600;0,24;0,16;0,9;16;75;200
5,5;5,1;7;1,1;1,5;4,5;11,6;9,5;15,5;0,1;0,2;0,4;255;200;600;0,28;0,16;0,9;36,2;75;200
5,3;5,1;7;1,1;1,5;4,5;11,8;9,5;15,5;0,11;0,2;0,4;263;200;600;0,3;0,16;0,9;38,2;75;200
5,3;5,1;7;1,1;1,5;4,5;12,7;9,5;15,5;0,11;0,2;0,4;302;200;600;0,26;0,16;0,9;39,6;75;200
6,4;5,1;7;0,6;1,5;4,5;12,6;9,5;15,5;0,07;0,2;0,4;183;200;600;0,38;0,16;0,9;56,8;75;200
5,6;5,1;7;1;1,5;4,5;12,1;9,5;15,5;0,09;0,2;0,4;73;200;600;0,29;0,16;0,9;13;75;200
7,1;5,1;7;0,4;1,5;4,5;14,6;9,5;15,5;0,04;0,2;0,4;245;200;600;0,25;0,16;0,9;12,3;75;200
5,7;5,1;7;1,8;1,5;4,5;10,8;9,5;15,5;0,17;0,2;0,4;309;200;600;0,34;0,16;0,9;80,6;75;200
6,6;5,1;7;0,7;1,5;4,5;12,9;9,5;15,5;0,07;0,2;0,4;348;200;600;0,31;0,16;0,9;47,4;75;200
5,1;5,1;7;1,1;1,5;4,5;11,7;9,5;15,5;0,11;0,2;0,4;183;200;600;0,43;0,16;0,9;40,4;75;200
5,3;5,1;7;1;1,5;4,5;11,6;9,5;15,5;0,09;0,2;0,4;284;200;600;0,29;0,16;0,9;28,8;75;200
7;5,1;7;0,6;1,5;4,5;11,7;9,5;15,5;0,06;0,2;0,4;180;200;600;0,34;0,16;0,9;58,6;75;200
6,9;5,1;7;0,7;1,5;4,5;14,1;9,5;15,5;0,06;0,2;0,4;372;200;600;0,37;0,16;0,9;28,1;75;200
6,3;5,1;7;0,6;1,5;4,5;10,8;9,5;15,5;0,05;0,2;0,4;135;200;600;0,21;0,16;0,9;18;75;200
5,1;5,1;7;1,2;1,5;4,5;11,1;9,5;15,5;0,13;0,2;0,4;215;200;600;0,42;0,16;0,9;45,9;75;200
5,8;5,1;7;0,8;1,5;4,5;14,5;9,5;15,5;0,07;0,2;0,4;164;200;600;0,28;0,16;0,9;13,5;75;200
5,6;5,1;7;0,9;1,5;4,5;12,1;9,5;15,5;0,08;0,2;0,4;107;200;600;0,29;0,16;0,9;20,5;75;200
5,5;5,1;7;1,2;1,5;4,5;12;9,5;15,5;0,1;0,2;0,4;165;200;600;0,34;0,16;0,9;46,9;75;200
7,2;5,1;7;0,5;1,5;4,5;14,4;9,5;15,5;0,04;0,2;0,4;252;200;600;0,23;0,16;0,9;11,2;75;200
5,3;5,1;7;2,1;1,5;4,5;13,1;9,5;15,5;0,19;0,2;0,4;190;200;600;0,14;0,16;0,9;57,6;75;200
5,3;5,1;7;1,2;1,5;4,5;13;9,5;15,5;0,09;0,2;0,4;167;200;600;0,34;0,16;0,9;45,2;75;200
6,3;5,1;7;0,8;1,5;4,5;13,4;9,5;15,5;0,08;0,2;0,4;80;200;600;0,34;0,16;0,9;20,4;75;200
5,4;5,1;7;0,9;1,5;4,5;11,6;9,5;15,5;0,1;0,2;0,4;279;200;600;0,18;0,16;0,9;14,3;75;200
6;5,1;7;1,4;1,5;4,5;10,7;9,5;15,5;0,14;0,2;0,4;187;200;600;0,38;0,16;0,9;41,9;75;200
7;5,1;7;1,8;1,5;4,5;10,6;9,5;15,5;0,16;0,2;0,4;302;200;600;0,49;0,16;0,9;85,9;75;200
6,7;5,1;7;1,2;1,5;4,5;9,8;9,5;15,5;0,12;0,2;0,4;172;200;600;0,42;0,16;0,9;63,9;75;200
6,8;5,1;7;1,3;1,5;4,5;10,7;9,5;15,5;0,13;0,2;0,4;233;200;600;0,37;0,16;0,9;59,1;75;200
6,5;5,1;7;1,8;1,5;4,5;9,4;9,5;15,5;0,22;0,2;0,4;481;200;600;0,09;0,16;0,9;105,3;75;200
6,6;5,1;7;1,6;1,5;4,5;10,8;9,5;15,5;0,16;0,2;0,4;194;200;600;0,46;0,16;0,9;87;75;200
6,2;5,1;7;1;1,5;4,5;11;9,5;15,5;0,11;0,2;0,4;263;200;600;0,28;0,16;0,9;69,6;75;200
6,9;5,1;7;1,7;1,5;4,5;10,7;9,5;15,5;0,16;0,2;0,4;209;200;600;0,29;0,16;0,9;82,5;75;200
5,2;5,1;7;1,3;1,5;4,5;10,5;9,5;15,5;0,14;0,2;0,4;262;200;600;0,5;0,16;0,9;58,2;75;200
6,2;5,1;7;1,2;1,5;4,5;11;9,5;15,5;0,1;0,2;0,4;251;200;600;0,38;0,16;0,9;53,1;75;200
5,4;5,1;7;1,1;1,5;4,5;11,6;9,5;15,5;0,12;0,2;0,4;20;200;600;0,2;0,16;0,9;24;75;200
7,4;5,1;7;2,8;1,5;4,5;9,2;9,5;15,5;0,27;0,2;0,4;376;200;600;0,67;0,16;0,9;165,9;75;200
6,5;5,1;7;1,1;1,5;4,5;11;9,5;15,5;0,1;0,2;0,4;235;200;600;0,36;0,16;0,9;54,2;75;200
5,3;5,1;7;1,4;1,5;4,5;12,4;9,5;15,5;0,13;0,2;0,4;293;200;600;0,46;0,16;0,9;31,6;75;200
6,9;5,1;7;0,9;1,5;4,5;15,4;9,5;15,5;0,07;0,2;0,4;28;200;600;0,26;0,16;0,9;30,9;75;200
6,9;5,1;7;0,7;1,5;4,5;12,7;9,5;15,5;0,06;0,2;0,4;160;200;600;0,2;0,16;0,9;15,8;75;200
6,3;5,1;7;0,6;1,5;4,5;14,7;9,5;15,5;0,07;0,2;0,4;64;200;600;0,25;0,16;0,9;23,8;75;200
6,6;5,1;7;1,9;1,5;4,5;11,3;9,5;15,5;0,17;0,2;0,4;181;200;600;0,36;0,16;0,9;84,7;75;200
